video_id,channel_id,views,likes,comments,shares,subscribers_gained,estimated_revenue,avg_view_pct,avg_view_duration
VVXamMvtufc,UCsbnInDepLdq6o781WVZ-5g,891,10,0,0,2,0.128,81.83,25.74
VWMAYGTOINk,UCpUrAXv2lzGxM4plYB7CE-A,205,5,1,0,1,0.014,69.39,21.0
VXbYUv80JDk,UCT7ZxKrKqxBvAODr8h_ODkA,395,1,0,0,1,0.168,4.97,60.62
VZQOqHmB0ws,UCf3lAEw_WPtcgHMUVAunzSw,2276,34,0,4,8,5.187,10.02,242.0
V_4lbUYub-s,UC82nFsZOjs5Tr96upPPq9Ww,199,0,0,0,1,0.198,2.06,133.19
V_5v1NW9LbU,UCMGKZD9ggu_Pfo4dkL47cXQ,96,1,0,0,1,0.098,10.99,178.19
VaFL2dkb1jQ,UCTqUiADoXl9Cq74vCP4FJCQ,218,1,0,0,0,0.0,1.4,104.04
Vd_8EF9B2Ng,UC77WdDKy6cbCxZkC46eaudA,2197,12,0,4,6,0.393,13.59,193.77
VdeUqeK7ivc,UCeVTtB1kN607CxFrFkiqjgQ,52,0,0,0,0,0.007,6.62,87.87
VeYRTwiud5o,UCNkelFxYeQTdVdBzl3yaliw,1817,11,1,1,1,0.0,10.95,189.95
VfgElxekvbs,UCAkSxwl8Lbk2hBXAAfsEFTA,94,4,0,0,0,0.016,71.27,23.01
VgOIXBpmMyw,UC2IjY1Gm6b7pYp-vMJ2R9ig,1,0,0,0,0,0.0,37.57,390.0
Vh6aMTPResE,UCTqUiADoXl9Cq74vCP4FJCQ,11,0,0,0,0,0.0,3.28,226.55
VhawxSw-kO0,UC2IjY1Gm6b7pYp-vMJ2R9ig,6,0,0,0,0,0.0,9.67,96.67
VhfitKJlXbQ,UCp013Ih_EWf3SXO8F4ftIwQ,691,7,0,0,0,0.0,68.31,19.53
Vhpp-r5iUp8,UCJw9px5fOp-nwJG6g4gN1ng,2354,27,0,0,2,0.098,44.67,13.25
VkNpzlZYxyE,UCctSzoeee7KCnR84dZ6IO7w,1,0,0,0,0,0.0,0.0,0.0
Vm1JTGNXnqU,UCZFs3JqsRIqtqYgo4HahDUQ,2810,12,0,0,0,0.189,54.04,17.4
VoEFnhK6qJw,UCxxl4xdZZqRSSz2VfnFBhwA,47,0,0,0,0,0.019,13.12,209.36
Vog1a10s5TU,UCk2O5vfW3c_W5YWQ_BoD1Ug,289,3,0,0,0,0.007,81.77,36.25
VpAw26DvwZ8,UCxfDVRNK6SoN59v_t3ZJ33A,7,0,0,0,0,0.0,4.18,80.71
VqVQ14St__s,UCEFB0gMdnD1NyiZaedHg2hQ,4,0,0,0,0,0.002,10.11,99.0
